partyId,firstName,lastName,stageName,bio,avatarUrl,instagram,tiktok,facebook
1,Sam,Williams,,Sam Williams is a performing artist.,,https://instagram.com/sam_williams,,
2,Cameron,Moore,DJ Cameron,Cameron Moore is a performing artist.,,https://instagram.com/cameron_moore,,
3,Jamie,Smith,DJ Jamie,Jamie Smith is a performing artist.,,https://instagram.com/jamie_smith,,
4,Sam,Brown,,Sam Brown is a performing artist.,,https://instagram.com/sam_brown,,
5,Alex,Moore,DJ Alex,Alex Moore is a performing artist.,,https://instagram.com/alex_moore,,
6,Cameron,Moore,DJ Cameron,Cameron Moore is a performing artist.,,https://instagram.com/cameron_moore,,
7,Riley,Taylor,DJ Riley,Riley Taylor is a performing artist.,,https://instagram.com/riley_taylor,,
8,Alex,Williams,,Alex Williams is a performing artist.,,https://instagram.com/alex_williams,,
9,Morgan,Jones,DJ Morgan,Morgan Jones is a performing artist.,,https://instagram.com/morgan_jones,,
10,Morgan,Johnson,DJ Morgan,Morgan Johnson is a performing artist.,,https://instagram.com/morgan_johnson,,
11,Jordan,Garcia,,Jordan Garcia is a performing artist.,,https://instagram.com/jordan_garcia,,
12,Drew,Jones,,Drew Jones is a performing artist.,,https://instagram.com/drew_jones,,
